phones,frequency
t w ɪ s t ɪ d,15
ɔ l,4386
ɪ t s,175
h æ p ə n d,365
b ʌ s,436
s k uː l,636
ʌ ð ə ɹ,1824
ɹ eɪ k,79
t eɪ k,1819
k æ n t,1
k ʌ p ə l,154
b ɜː d,621
b ɪ ɡ,2775
h ʌ,2235
b aʊ t,18
s ʌ m,4799
k l iː n,741
p ʌ z ə l,260
ɹ ɛ d iː,1286
ɹ aɪ t,214
h æ n d z,7
h oʊ l d,1
d ʌ s t iː,5
ɛ m,181
ɹ ɛ s t,225
f aɪ n d,1349
ɪ f,2878
s iː,1
l ɪ f t,99
f iː l z,70
n oʊ b ɑ d iː,74
k ɹ ʌ m iː,4
ɛ v ɹ iː b ɑ d iː,139
ə n ʌ ð ə ɹ,1314
f aʊ n d,495
ɜː n iː,77
s m ɔ l,424
ə n d,23443
d aʊ n,2904
ʌ n d ə ɹ,541
p oʊ s t m ə n,2
ʌ p,1
s æ d,201
h æ p iː,494
ɹ ɑ k,177
b ɪ l oʊ,43
ə b ʌ v,70
ɑ ɹ,3
k ɛ ɹ f ə l,621
n æ p,145
n aɪ s,1419
t ɜː t ə l,179
ɡ ɹ oʊ v ə ɹ,21
s t ʌ k,494
h iː z,1
θ æ ŋ k,1524
d ɔ n,9
p ɹ ɛ ɹ iː,18
ɡ ɛ t ɪ ŋ,563
w aɪ z,12
d ɹ ʌ m z,34
p l eɪ d,94
b ʊ k s,8
t ɹ iː,585
s t ɑ ɹ,275
d oʊ,234
f ɪ ʃ,591
aʊ t s aɪ d,462
h ɑ t,384
b ɪ k ɔ z,2070
θ ɪ ŋ z,7
w iː ɹ,1764
w eɪ,1
t ɹ aɪ,5
l ɛ t s,36
ɹ ɔ ŋ,163
m ɑ m iː,3203
m iː,2
ɪ k s k j uː s,149
b iː d z,56
aɪ l,4
ɑ k t ə p ʊ s,62
w ʌ n z,369
s ɪ t ɪ ŋ,354
ɡ oʊ z,1080
n oʊ p,239
k ʌ m,2638
ʃ uː,14
m aɪ,4376
dʒ ɑ b,677
uː p,227
k aʊ,309
h æ t,15
b l uː,28
h ɪ m,1790
b l ɛ s,120
p ɑ l ɪ ʃ t,5
dʒ ʌ m p,181
ɔ ɹ ə n dʒ,565
s t ɑ ɹ f ɪ ʃ,61
t iː,5
ɹ ɪ m ɛ m b ə ɹ,1264
ɔ l ɹ aɪ t,2238
n ɜː v ə s,21
m eɪ k s,281
ɹ ɛ d,1619
f ɪ ʃ iː,41
w ɑ n t,4476
d j ʊ,292
p ɹ ɑ dʒ ɛ k t,14
d æ d iː z,7
ɡ ɹ iː n,1206
b ɔ l,1268
j ɛ l oʊ,855
h ɛ l p ɪ ŋ,85
ɔ,323
tʃ ɛ s t,49
t ɹ ɛ ʒ ə ɹ,11
s aɪ n,90
f ɪ ʃ ɪ ŋ,21
ɛ n iː m ɔ ɹ,178
p ɪ ɡ iː,114
k ɪ s,481
k oʊ l d,374
d ʌ,13
m ɪ s ɪ ŋ,150
n aʊ,3692
d ɹ uː l ɪ ŋ,5
d uː ɪ ŋ,1536
w ʌ t ə ɹ,241
k ɑ ɹ,1162
b æ t,103
b ʌ t ə n,251
θ ɪ ŋ,762
ɹ uː m,698
b iː,198
m ʌ s t,374
b oʊ t,211
s ɪ t,1221
ɡ eɪ v,264
j ɑ,11
l aɪ k,8840
w ʊ d,88
s w iː t,237
w ɑ z,4839
θ ɹ oʊ,479
p ɑ p,506
b ɛ t ə ɹ,670
t aɪ ə ɹ d,261
m æ t ə ɹ,199
d ʌ z,2265
s ɑ ɹ iː,496
f ɪ t s,84
ð iː z,1775
h ʊ k,105
h ɛ d,663
ɪ n ʌ f,261
s ʌ m θ ɪ ŋ z,33
n oʊ z,90
h ɪ z,2839
f ɑ l oʊ z,9
ɑ p ə z ə t s,30
b ʊ k,2362
w ɛ l,3011
æ z,1029
w ɜː k,621
w ɪ l,1553
s n ʌ f l,11
ɔ ɹ,2
b iː k,36
s m ɛ l,124
n oʊ z ɪ z,10
aʊ ə ɹ,70
j uː s,727
ə ɡ ɛ n,1046
ə h ɛ d,330
f ɪ t,289
p iː s,8
d ɹ aɪ,179
h ʌ ŋ,22
k l oʊ ð z,285
w ɑ ʃ t,52
f ɹ ɛ ʃ l iː,5
p aɪ,1
b l uː b ɛ ɹ iː,73
b eɪ k s,3
w aɪ l,559
b ɹ ɛ d,224
t ɔ l,174
ʃ ɔ ɹ t,88
f l aʊ ə ɹ z,1
f ʊ l,180
f iː l d,43
f ɹ ʌ m,1308
b ɹ ɛ θ,19
ʃ aʊ ə ɹ z,10
s ʌ m ə ɹ,122
w ɔ ɹ m,203
æ f t ə ɹ,612
t ɹ iː z,175
ɜː θ,107
b ʌ ɡ,164
t w iː d ə l,20
d æ d iː,1799
f ʊ t b ɔ l,85
dʒ ʌ ŋ k,16
p aɪ l,98
ɔ s k ə ɹ z,7
p æ s,31
d ʌ b,34
ɹ ʌ b,77
t ʌ b iː,16
f ɪ l d,41
b ʌ b ə l,111
ɹ ɪ l æ k s,28
ɔ f,1916
f ʌ n iː,707
n ɛ ɹ oʊ,28
w aɪ d,2
ɡ ɑ n ə,5862
h æ d,1391
tʃ ɛ ɹ,692
ɹ ʌ b ə ɹ,72
ɡ ɹ aʊ tʃ iː,6
ɪ s k eɪ p,10
z uː,234
b ɛ ɹ,21
n uː,1
ɛ m p t iː,134
w ɛ n t,1001
f ɑ ɹ,186
n ɪ ɹ,183
s p uː n,300
s ɪ ŋ ɪ ŋ,134
l ʌ v,856
b ɜː d z,1
n ɔɪ z,248
b eɪ b iː z,180
s ʌ m θ ɪ ŋ,1459
l ʌ v z,3
ɛ v ɹ iː w ʌ n,149
h ə l oʊ,1034
ɛ l m oʊ,269
h uː,16
ɡ ɛ s,393
k uː,1
p ɪ dʒ ə n z,12
b ɜː t,45
t ɔɪ z,292
k ɪ d z,3
ɡ ʊ d b aɪ,87
s ə p l aɪ z,11
ɹ aɪ d,261
k ɹ aɪ,55
t ɛ ɹ z,19
w aɪ p,153
m ʌ d,74
ɹ oʊ l,1
p ɪ ɡ ɪ z,18
ɡ ɔ n,288
s t ɛ p,109
ɛ n d,304
s n oʊ,487
p ɛ ŋ ɡ w ə n z,42
f iː t,1
ɡ ɑ t,1843
aɪ v,315
ɑ,1148
k ɹ oʊ,20
ɹ uː s t ə ɹ z,16
ɜː l iː,109
w eɪ k,118
f ɑ ɹ m ə ɹ z,16
j eɪ,10
l ʌ n tʃ,250
d ɪ l ɪ ʃ ə s,308
ɡ oʊ ɪ ŋ,1867
l aɪ b ɹ ɛ ɹ iː,179
z oʊ iː,52
h ʌ ɡ,174
ɡ ɪ v,1221
k eɪ,4
k w aɪ ə t l iː,15
w ɪ s p ə ɹ z,5
d ɹ ʌ m,79
k aʊ n t ɪ ŋ,35
k aʊ n t,228
uː p s,534
s ɛ t,328
ɛ k s ə ɹ s aɪ z,12
m ɑ n s t ə ɹ z,11
tʃ ɛ k,225
p ɹ ɛ s t,9
s t eɪ ʃ ə n,95
n uː z,23
ɡ ʌ m,35
ə ɹ aʊ n d,958
t ɜː n,885
p iː k ə b uː,108
p l eɪ ɪ ŋ,453
h ɜː,2986
n ə t ɑ ʃ ə,6
b ə n æ n ə z,114
m ʌ ŋ k iː z,16
j ə ɹ s ɛ l f,308
h ɪ t,172
k ʊ d,1778
s ɑ k s,1
w ɛ ɹ ə ɹ,19
p uː l,59
t ɹ æ ʃ,38
ɡ ɹ aʊ tʃ ɪ z,2
b æ k w ə ɹ d z,91
ɪ ɡ n ɔ ɹ ɪ ŋ,2
d ɔ ɡ,564
k j uː t,306
h æ z,2142
l ʌ v l iː,111
æ t,4424
æ n,6
t ɹ uː,216
t oʊ l d,243
f ɔ ɹ w ə ɹ d z,7
ð eɪ,4179
θ ɜː s t iː,78
ð ɛ ɹ z,1
p iː tʃ ə z,34
f l aɪ ɪ ŋ,154
ɹ ɪ m oʊ t,11
s ɪ l iː,767
k ɹ eɪ z iː,74
s ɪ l iː ə s t,11
s t uː l,45
f ʊ t,322
t ɛ l iː,12
æ p ə l,485
t ɹ eɪ n,826
ʃ ɛ ɹ ɪ ŋ,37
ə b aʊ t,2932
s l aɪ d,192
ɡ ɹ eɪ p s,122
s t ɹ æ p s,13
l uː z ɪ ŋ,16
s ɛ z,1073
d ɹ ɪ ŋ k,311
m,2563
s eɪ ɪ ŋ,311
ʃ ʌ v ə l,92
ɹ ʌ f,98
b ə n æ n ə,319
k æ ɹ ə t s,143
w aɪ n d,1
ə w eɪ,1055
æ l ə k s ɪ z,38
k w ɪ k,102
b eɪ s b ɔ l,62
t ɛ l ə f oʊ n,64
l aʊ d,139
ʃ ʊ ʃ,4
k ɹ æ k ə ɹ z,56
t ɹ æ k,287
ʌ,11
b aɪ,2
ʃ oʊ d,51
k æ n d ə l,22
m eɪ d,7
ð oʊ,485
t ʌ tʃ,270
ʃ ʊ d ə n t,57
p ɹ ɛ s,240
w ɜː k s,124
d iː l,46
s k uː p,105
æ l,3
ɹ ɪ d,43
æ l ə ɡ eɪ t ə ɹ,80
m j uː z ɪ k,281
t ɹ eɪ n z,12
ð oʊ z,1868
t ɪ p,45
ɪ z ə n t,610
p ʌ z ə l z,30
b æ t ə ɹ iː z,98
n iː d z,371
f ɔ ɹ k,80
j uː d,134
p ɪ t,8
ɡ ɹ æ v ə l,10
s k aɪ,249
t ɹ æ k s,139
b æ k,3
h m,4
ɛ ɹ ə n d z,9
w ɜː,1683
θ ɔ t,507
h ɛ l p ə ɹ,15
l ɔ s t,185
d ɪ d ə n t,1119
f ɪ k s,596
l ɛ m ə,486
w aɪ,1507
s t ɑ ɹ t ɪ d,102
k ɪ t ə n,60
s aɪ d,6
ɛ v ɹ iː θ ɪ ŋ,321
t ɪ s j uː,146
m iː aʊ,224
t ɑ m ə s,353
ʃ oʊ,866
f eɪ s,551
t oʊ z,1
s ɛ k ə n d,243
h eɪ,56
m ɑ ɹ k ə t,32
ə w aɪ l,30
h æ v ə n t,233
uː,1
h oʊ m,651
s t eɪ d,52
v ɹ uː m,97
b iː f,39
ɹ oʊ s t,17
m ɔ ɹ,2344
n ʌ n,8
s iː t,143
s k w iː k,82
d ʌ k,383
t uː t,201
k ɹ aɪ d,133
ɹ ɪ ŋ,192
f oʊ n,327
b æ ŋ,348
w oʊ,2
k ɹ æ ʃ,118
b l ɑ k s,345
dʒ æ k,59
n aɪ t,9
w ɪ ʃ,84
m ɑ n s t ə ɹ,81
t ɛ d iː,139
h ɑ ŋ k,28
d ʌ s t,41
ʃ eɪ k ə ɹ,8
s ɪ t s,36
h ɛ ɹ k ʌ t,16
ɛ ɡ,417
s k uː l b ʌ s,32
ð ɛ n,2577
p ɪ ɡ,348
s l ɜː p ɪ ŋ,2
f l aʊ ə ɹ,69
h ʌ ŋ ɡ ɹ iː,297
ɡ uː s,65
p eɪ dʒ ə z,59
tʃ uː,1
ʃ ʊ ɹ,880
m eɪ k,2804
s t ɪ k ɪ ŋ,59
h ɛ ɹ,5
k ʌ m z,466
l ʊ k ɪ t,128
t aɪ m z,1
h ʌ n d ɹ ə d,118
s t ɹ iː t,1
t ɜː n ɪ ŋ,54
b aɪ t,162
s uː p,99
d ɑ n,32
s t ɪ l,697
t ɜː k iː,94
b ɹ oʊ k,160
w ɪ θ aʊ t,156
w eɪ t,9
f l ɔ ɹ,497
w ɑ ʃ,268
d ɔ ɹ,413
ʃ ʌ t,196
ð ɪ s ə l,9
k w æ k,391
d ʌ k ɪ z,36
s ɪ ɹ iː ə l,208
p ɪ ŋ k,492
t w iː t,106
b ɜː d iː z,19
b l iː t,12
ɡ oʊ t s,8
m uː,203
k aʊ z,14
h ɔ ɹ n,75
d ʌ z ə n t,1114
w ɪ tʃ,62
f æ n,37
s p ɹ eɪ,25
d ɑ ŋ k iː z,7
n eɪ,7
h ɔ ɹ s ə z,3
tʃ iː p,11
k ɹ ɪ k ə t s,1
p iː p,23
tʃ ɪ k s,5
s t ɹ ɔ b ɛ ɹ iː z,67
n ɛ v ə ɹ,367
æ b s ə l uː t l iː,74
s p iː k,49
tʃ ɪ l d ɹ ə n,192
ʃ ɹ iː k,5
p iː k ɑ k s,9
s k w ɔ k,4
h ɛ n z,3
t ɔ k,312
p ɛ ɹ ə t s,20
k iː z,1
p ʊ l,441
b l oʊ,188
ɛ l ə f ə n t s,27
b ʌ n iː z,35
p ɪ ɡ z,19
b ʌ n iː,385
k ʊ k iː,278
s ʌ n,31
b ɹ eɪ k,3
m ɪ n ə t,511
k ɹ ʌ m z,24
m ɛ n iː,549
l ɛ t,1460
j ʊ ɹ z,187
oʊ p ə n,743
b ɪ l iː,58
b ɪ l d,1
h æ m ə ɹ,105
m ʌ tʃ,784
b ɔ l z,14
w uː p,204
ɹ ɑ k s,128
s p ɑ t,229
b ɹ ɪ ŋ,670
t uː θ b ɹ ə ʃ,59
t iː θ,383
b ɹ ʌ ʃ ɪ ŋ,39
k eɪ m,498
p ɹ ɑ m ə s,13
ɹ iː l,167
ɹ ʌ n,273
s t ɹ ɪ ŋ,104
b ɹ oʊ k ə n,209
k ɪ k,69
k ɪ t iː,409
p ɪ l oʊ,98
h ɜː t,258
t ə ɡ ɛ ð ə ɹ,509
t ɛ s t,30
w ɛ n,2255
ə t ɛ n ʃ ə n,29
p eɪ,51
k l aɪ m,126
n oʊ t ə s,44
w eɪ t ɪ ŋ,1
j ə n oʊ,31
s l oʊ,76
j uː v,264
ə l oʊ n,125
m iː m iː,8
n eɪ b ə ɹ h ʊ d,12
l æ f,41
s ʌ tʃ,203
l aɪ t,327
s t eɪ,497
p æ n t s,318
s k iː,6
iː v ɪ n,538
p ɹ iː t ɛ n d,222
k æ tʃ,274
s w ɪ m,138
d aɪ v,15
k ɹ ɪ s m ə s,113
l æ d ə ɹ,64
w ɔ l,131
t ɛ l,1036
ɡ ɑ t ə,599
t ɹ aɪ ɪ ŋ,390
k æ t,837
k ɹ æ k ə ɹ,63
m ʌ ŋ k iː,238
d ɑ d ɑ,64
iː z iː,123
h ɛ ɹ iː,22
m eɪ l,9
k ʊ k,114
ɹ oʊ z iː t ə,17
l ɛ t ə ɹ,393
s t ɑ ɹ t,260
s ɪ d eɪ t ɪ d,1
b oʊ θ,261
m ɪ n ə t s,144
f j uː,9
t ʊ k,370
s ɛ d,2407
h ʊ d,7
ʃ ʊ d,1661
v ɛ t,4
v ɪ z ɪ t s,11
ɹ ɑ k iː,1
p ɛ d ə l z,4
m aɪ k ɹ ə f oʊ n,591
h ɛ ɹ k ʌ t s,1
ɔ l ɹ ɛ d iː,279
m ʌ n θ,18
ɛ v ə ɹ iː,216
l ɪ s ə n,217
ɛ n dʒ ə n,297
ʃ,13
b æ l ə n s ɪ ŋ,12
dʒ ʌ m p s,49
k æ m ə ɹ ə,478
p ɛ d ə l,7
s t ɹ eɪ t ə n,24
t ɹ æ m p ə l iː n,7
b ɹ ʌ ʃ ɪ z,27
ɛ d iː,7
ʌ ɡ,39
m æ ɡ ə z iː n,35
p iː p ə l,522
s t ɪ ɹ,5
b aʊ n s ɪ z,21
l ɑ t,614
t aɪ m,1503
s n iː k ə ɹ,7
p eɪ dʒ,430
s k ɪ p t,35
ɹ eɪ k s,4
d eɪ,958
f ɹ ɛ n d z,2
s aɪ z,2
m iː d iː ə m,16
s n æ k,162
w oʊ n t,1
p l eɪ n,67
dʒ uː s,439
s k ɛ ɹ d,117
dʒ æ m,64
ʃ aɪ n ɪ ŋ,18
ɡ ɹ iː t,4
m ɔ ɹ n ɪ ŋ,6
p ʌ d ə l,164
f ɹ uː t,129
ɡ ɑ b ə l,38
s p l æ ʃ,76
m æ n,377
dʒ ɪ n dʒ ə ɹ,25
f ʌ n,540
m ʌ s t ə ɹ d,26
w ɛ t,261
ɡ ɛ t s,220
p eɪ t ɹ iː ə t s,2
ɛ ɡ z,242
k ɹ iː m,1
aɪ s,322
s ɑ ɹ d iː n z,4
ɹ oʊ p,55
d ɪ f ə ɹ ə n t,598
s l aɪ m iː,18
s k ɪ p,56
f l aɪ,229
f ɜː s t,850
p l eɪ ɪ n,2
h oʊ l,146
ʃ iː,2
b eɪ b iː s æ t,1
w ɪ n d iː,41
ɔ l w eɪ z,296
b ə ɹ n iː s,3
s æ n d w ɪ tʃ,92
s k ɑ tʃ,4
h ɑ p,72
t ʌ b,42
s k ɹ ʌ b iː,7
b ɑ ɹ z,23
b æ ŋ k,54
f oʊ l d,80
b æ θ,237
dʒ ɔɪ n z,4
p æ l,26
t eɪ b ə l,519
k ʌ l ə ɹ,938
s æ n d,126
l æ n d z,22
s oʊ p,76
s ɛ n d,56
j ɛ s,3078
m æ n z,7
t ʌ k,15
l aɪ k s,389
v eɪ s,17
ɡ eɪ m,220
ɡ ɛ s ɪ ŋ,9
b iː ɪ ŋ,254
p ɹ ɑ b ə b l iː,384
b uː t s,104
n ʊ k,3
k oʊ z iː,2
k ʌ d ə l d,3
s ɛ t ə l,12
ʃ æ n t iː z,2
s iː s aɪ d,9
s ɪ d n iː,4
p ɜː p ə l,532
b ɛ n tʃ,23
f eɪ v ə ɹ ɪ t,341
s t ɔ ɹ iː,421
s l ɑ t,10
t aɪ t,89
ʃ ɑ ɹ k,89
s l iː p,334
b ɪ z iː,163
b ɪ n,47
ʃ iː p,246
h ɛ l p s,40
d eɪ v ɪ d,25
f ɹ ɛ n d,296
b ɛ s t,222
j aɪ k s,63
ə p s t ɛ ɹ z,215
b ə l uː n z,64
k ɹ æ b,103
ə m b ɹ ɛ l ə,94
ɹ iː z ə n,56
s aɪ d w eɪ z,14
w ɔ k ɪ ŋ,161
ɛ k s ə l ə n t,133
tʃ iː z,561
ɡ ɹ ɪ l d,4
j ʌ p,526
ɹ eɪ n d ɪ ɹ,21
s p aɪ,45
s n iː k iː,4
h ɪ m s ɛ l f,104
æ k s ə d ə n t s,7
t ɜː t ə l z,8
t ɔ s t,9
p ɹ ɪ t iː,618
ʃ iː z,1400
w ɔ t ə ɹ,1142
b iː tʃ,2
k ɹ ɔ l,21
m ɪ l k,461
l æ n d,109
b ɛ ɹ iː,33
p ɪ k,2
s k æ m p ə ɹ,1
h æ tʃ,13
b æ tʃ,8
l eɪ,35
ɡ ɪ v ɪ ŋ,209
k ɹ eɪ ɑ n,164
d aɪ n ə s ɔ ɹ,247
l aɪ n,139
s p ɛ l z,142
ɹ eɪ s,49
eɪ n dʒ ə l f ɪ ʃ,2
p æ n d ə,107
d ɹ ɑ p,77
w ʌ t ɛ v ə ɹ,101
d ɑ ɹ l ɪ ŋ,28
p ɹ ɪ t iː ə s t,5
tʃ uː z,6
ə b ɔ ɹ d,25
ɡ ɔ ɹ dʒ ə s,13
k ɹ iː tʃ ə ɹ z,24
ʃ eɪ m,13
n ɛ k s t,697
h iː t,40
l oʊ ə ɹ,15
k uː l ə ɹ,7
k æ ɹ iː ɪ ŋ,84
b ɜː d iː,35
m aʊ n t ə n,85
ɡ ɜː l z,1
b ɔɪ z,2
l ɛ m ə n,49
w ɔ l ɹ ə s,30
n aɪ t t aɪ m,22
t ɹ ʌ s t,8
h ʊ ɹ eɪ,172
k ɑ ɹ l oʊ s,7
w ɑ n,1
iː s t ə ɹ,77
m ʌ s ə l z,3
d ɔ ɡ iː,152
ɪ n s t ɛ d,161
ɹ ʌ ɡ,99
dʒ ɛ l iː,102
ɡ ɹ eɪ ə m,41
f ɑ ɹ m,187
m ə k d ɑ n ə l d z,11
oʊ l d,480
s ɛ s ə m iː,41
k ɔ l d,985
aɪ,203
iː,44
ɹ uː s t ə ɹ,42
ɹ ʌ n z,30
k æ t ə p ɪ l ə ɹ,104
ð æ n,337
f æ s t ə ɹ,58
t iː n iː,4
f ɹ ʌ s t ɹ eɪ t ə d,32
d ɹ ʌ m ɪ ŋ,8
f ɑ ɹ m ə ɹ,89
s t ʌ f,507
s æ n t ə,52
k ʌ l ə ɹ z,237
t ɔ k t,40
d ʌ k s,7
t ɹ æ m p l ɪ ŋ,1
f æ b j ə l ə s,24
l eɪ d iː b ʌ ɡ,86
t ʌ tʃ ɪ ŋ,30
ɛ v ə ɹ,254
l ʊ k ɪ ŋ,714
m ɑ,11
ɡ ɪ m iː,68
b æ ŋ ɪ ŋ,18
ɡ ɹ æ s h ɑ p ə ɹ,36
b oʊ l,369
ɛ l ə f ə n t,342
ɡ ɑ tʃ ə,38
d ɹ æ ɡ ə n f l aɪ,19
l ʊ k s,1007
n ʌ θ ɪ ŋ,150
d ɜː t,115
d ɹ ɔ ɹ,51
n eɪ m,920
t ə n aɪ t,112
k ʌ m ɪ ŋ,576
p ɑ p ʌ,77
s k w iː k iː,13
s p uː n z,61
f aɪ v,557
s ɪ k s,350
dʒ uː,2
s ɛ v ə n,328
ʌ p s aɪ d,123
eɪ t,215
k æ n ɑ t,59
w ɑ n t s,333
h oʊ l d ɪ ŋ,173
d ɪ s ə p ɪ ɹ d,42
f ɪ ɡ j ə ɹ,90
m ɑ m iː z,39
d ɹ ɪ p ɪ ŋ,16
k ʊ d ə n t,167
tʃ eɪ n dʒ,158
n aɪ n,277
b uː,657
h ɑ ɹ t,122
w aɪ t,610
iː ð ə ɹ,161
m aɪ n,185
ɹ iː t ə,1
ɔ s k ə ɹ,29
s p ɛ l,147
f ɑ l ɪ ŋ,189
p ɹ aɪ z ə z,12
s k uː t,11
s t ɔ ɹ,359
ʃ iː t,18
b eɪ k ɪ ŋ,27
k ɹ aɪ ɪ ŋ,91
s t eɪ p ə l,4
s k ɹ ʌ b,82
s ɪ s t ə m,24
m ɪ k s,146
dʒ oʊ iː,52
d eɪ z,2
s iː n,8
w ɜː d,1
d ɪ v ɪ ʒ ə n,2
h æ p ə n,93
ʃ ɪ p,84
ɹ ɑ k ə t,45
k ʌ d ə l,14
ə m,109
f æ l ɪ n,4
b ɹ iː z,13
f ɛ l,395
ɛ n iː b ə d iː,63
l iː v ɪ ŋ,34
h oʊ p,165
b ʌ b ə,21
h ɜː iː,92
dʒ iː dʒ iː,83
h ɜː d,7
s n oʊ ɪ ŋ,31
d ɑ,184
ɡ æ b ɪ ŋ,1
k æ ɹ iː ə ɹ,16
θ ɹ uː,74
b eɪ k t,19
n uː n,2
d ɪ l ɪ v ə ɹ ɪ ŋ,10
b ɪ z n ə s,26
k iː p,701
d æ n s ɪ ŋ,131
h oʊ l z,43
k ɪ k ɪ ŋ,36
m æ k ə ɹ oʊ n iː,82
b j uː t ə f ə l,241
t ɑ p,583
k ɪ k ə ɹ,1
ɡ ɹ eɪ t,14
s p ɪ n ɪ ŋ,50
ɪ k s k j uː z d,2
m eɪ,2
v ɪ d iː oʊ z,7
p ɪ n,66
ɹ oʊ l ɪ ŋ,122
b ɪ l iː v,120
ɡ ɹ æ m iː z,5
l æ s t,450
m æ n ə ɹ z,12
b ɑ t,97
k ʌ z ə n,52
s aʊ ə ɹ,16
f ɪ n ɪ ʃ,259
ɡ ɹ ʌ m p iː,33
æ n t iː,153
b ɹ iː z iː,2
s ʌ m b ɑ d iː z,65
j ɜː,278
ɡ ɑ d,172
t w ɛ l v,90
ɪ l ɛ v ə n,93
t ɛ n,303
s n iː z ɪ z,12
k ʊ k t,23
b l ɛ k,2
æ k t ɪ ŋ,19
h uː ə ɹ,18
b ɹ aɪ b,3
h æ b ə t,4
b æ d,187
f eɪ s ə z,37
m aʊ θ,508
ʃ ɛ f,7
p ɛ ŋ ɡ w ə n,69
ɔ f ə s ə ɹ,24
p ə l iː s,159
s eɪ f l iː,16
k ɹ ɔ s,51
w iː v,1
ɹ ɪ l iː,1684
p eɪ ɪ ŋ,14
ɡ ɹ oʊ n,1
s iː z,3
d ɑ k t ə ɹ,191
k ɔ l,571
p æ t,22
s ɪ n ə m ə n,22
d ɛ f ə n ə t l iː,94
b ɪ f ɔ ɹ,444
ə k l ɑ k,55
k oʊ t,77
b uː m,253
b ɪ t w iː n,65
t ɹ ɪ k,58
p ʌ m p k ɪ n,201
d ɹ ɑ p t,88
ɹ ɪ p t,26
b eɪ b iː,2407
k ə n f j uː z d,18
θ ɹ oʊ ɪ ŋ,98
ɹ iː tʃ,121
k l oʊ s ə ɹ,59
z ɪ ɹ oʊ,29
f ɔ l z,55
p l æ n,66
s k ʌ ŋ k,30
p ɛ t,32
s m ɛ l iː,23
b ɹ aʊ n iː z,2
k oʊ ɑ p ə ɹ eɪ t,12
l æ m p,24
w ɔ k s,26
k eɪ s,78
l aɪ ə n,234
s t ɑ p,480
w ɔ k,367
ɛ v ɹ iː θ ɪ ŋ z,31
s aɪ d w ɔ k,20
ɹ iː d ɪ ŋ,208
b ɹ ɪ dʒ,189
k ɑ m,35
h ɪ l,169
d æ t,10
ɪ ɡ z ɔ s t ɪ d,3
t uː θ p eɪ s t,17
ɡ eɪ t,41
k w ɪ l t,18
s t ɜː ɪ ŋ,13
m ɪ k s ɪ ŋ,53
m iː t,22
k ɔ ɹ n ə ɹ,136
ə m h ə m,2341
ʃ ɜː t,431
b aɪ s ɪ k ə l,65
ə s l iː p,107
f ɑ l ə n,18
s l iː p ɪ ŋ,242
f aɪ ə ɹ,460
tʃ ɛ ɹ z,52
l aʊ n dʒ,4
p ɑ,21
p l eɪ s,326
p æ t iː oʊ,5
ɹ ɑ k oʊ,1
ʃ oʊ ɪ ŋ,50
t aʊ ə l,125
b ɹ aɪ t,58
k ə n t eɪ n ə ɹ,63
s ʌ m b ɑ d iː,192
ɡ ə ɹ ɑ ʒ,72
